%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15
1654092488198617028,0,-0.07631108210637019,0.011909635774381866,-0.08767002650669642,0.010542917775583777,-0.1156746329842033,0.007843017578125,-0.0837404020540007,0.026420509422218408,-0.07795383327609892,0.03634747515667926,-0.0984876695570055,0.018243743561126374,-0.11709795941363324,0.03455079466432007,-0.10431049053485576,0.03422841501759959
1654092488251113064,0,-0.08656156770475615,0.011749133434924453,-0.09719305352850274,0.010240827287946425,-0.1251749227335165,0.0075666825849931285,-0.09362437489268545,0.025926728300995877,-0.08792023711152128,0.03547410231370192,-0.10813504732572116,0.01755270486349588,-0.1264093755365728,0.03417780949519232,-0.11348259894402472,0.03383926559280563
1654092488299743728,0,-0.09495299622252745,0.011361325442135972,-0.10507872864440246,0.010139482099931318,-0.1330738780262706,0.00742616758241757,-0.10174382807134273,0.025564273373111263,-0.09648169213598903,0.03470489166595124,-0.11598021119505494,0.017273888221153846,-0.13417908385559751,0.03404980334606801,-0.12131911057692307,0.033614273909684064
1654092488349027234,0,-0.10164721143114697,0.010977810031765095,-0.11155630258413463,0.00959915328811814,-0.13943729610233516,0.006936276614010986,-0.10825943160843064,0.02478838910113324,-0.10339556683550824,0.03375995342548077,-0.12229701450892858,0.016706529554429944,-0.14041184645432692,0.03361548119848902,-0.12768829681061125,0.03308286562070742
1654092488407281397,0,-0.10725308931790867,0.009895274403331045,-0.11694832267342034,0.008435393951751385,-0.1445246099115728,0.005993518200549441,-0.11375078473772322,0.02358639895260989,-0.10880465664706387,0.03228870433765453,-0.12737748701493817,0.01567369398179945,-0.14562860845209477,0.03269834413633242,-0.13277795812585852,0.03198124812199518
1654092488448932683,0,-0.11167572356842376,0.007820146162431318,-0.12109059763478708,0.006646191942822788,-0.14866782387534339,0.004463614998282961,-0.11820397010216348,0.021448692908653845,-0.11325814383370539,0.030151870224502067,-0.13155182220123626,0.01398047143286401,-0.149367917239011,0.03132317511589973,-0.13668514712826235,0.030352146022922383
1654092488530202338,0,-0.11491933969350959,0.0053991296789148435,-0.12411478901957418,0.004325514573317313,-0.15163131546188185,0.0025944636418269162,-0.12115840702266485,0.01888615534855769,-0.11635762308980083,0.027270541348300134,-0.13443610222785027,0.011769254915006869,-0.15204528137877749,0.02936890989869506,-0.13940872360061812,0.02825770116114354
1654092488572042088,0,-0.116788826407967,0.0024120959606799552,-0.12596851390796704,0.0016107915521977878,-0.15331119076236263,0.0004817753047733492,-0.12306511847527472,0.016015222570398353,-0.11842165098085508,0.024295748197115385,-0.1359963888650412,0.00929692865728022,-0.1533478789277129,0.0270728478064904,-0.1408763172862294,0.02557684929816277
1654092488591218649,0,-0.116788826407967,0.0024120959606799552,-0.12596851390796704,0.0016107915521977878,-0.15331119076236263,0.0004817753047733492,-0.12306511847527472,0.016015222570398353,-0.11842165098085508,0.024295748197115385,-0.1359963888650412,0.00929692865728022,-0.1533478789277129,0.0270728478064904,-0.1408763172862294,0.02557684929816277
1654092488672171167,0,-0.116788826407967,0.0024120959606799552,-0.12596851390796704,0.0016107915521977878,-0.15331119076236263,0.0004817753047733492,-0.12306511847527472,0.016015222570398353,-0.11842165098085508,0.024295748197115385,-0.1359963888650412,0.00929692865728022,-0.1533478789277129,0.0270728478064904,-0.1408763172862294,0.02557684929816277
