%time,field0,field1
1653385536048868578,779.0,100.0
1653385536126677732,779.0,100.0
1653385536204162494,779.0,100.0
1653385536286309311,779.0,100.0
1653385536370431551,787.0,100.0
1653385536448308200,787.0,100.0
1653385536530196052,787.0,100.0
1653385536607140489,787.0,100.0
1653385536688400158,795.0,100.0
1653385536766678814,795.0,100.0
1653385536846432059,795.0,100.0
1653385536924640121,795.0,100.0
1653385537009401387,803.0,100.0
1653385537088539368,803.0,100.0
1653385537168370690,803.0,100.0
1653385537246223162,803.0,100.0
1653385537344351565,818.0,100.0
1653385537410482450,818.0,100.0
1653385537503018198,818.0,100.0
1653385537571089714,818.0,100.0
1653385537664197300,837.0,100.0
1653385537725809441,837.0,100.0
1653385537820872484,837.0,100.0
1653385537888072392,837.0,100.0
1653385537983463757,854.0,100.0
1653385538066413584,854.0,100.0
1653385538145294237,854.0,100.0
1653385538209153850,854.0,100.0
1653385538307533504,871.0,100.0
1653385538386491903,871.0,100.0
1653385538463085159,871.0,100.0
1653385538544111332,871.0,100.0
1653385538622636976,889.0,100.0
1653385538703047517,889.0,100.0
1653385538784554770,889.0,100.0
1653385538864599390,889.0,100.0
1653385538943444179,907.0,100.0
1653385539024533840,907.0,100.0
1653385539106429511,907.0,100.0
1653385539187559156,907.0,100.0
1653385539283728403,920.0,100.0
1653385539391990115,920.0,100.0
1653385539472009883,920.0,100.0
1653385539552461440,944.0,100.0
1653385539635716891,944.0,100.0
1653385539711959569,944.0,100.0
1653385539792347172,944.0,100.0
1653385539889173161,964.0,100.0
1653385539950931582,964.0,100.0
1653385540050144314,964.0,100.0
1653385540116217192,964.0,100.0
1653385540207788087,982.0,100.0
1653385540271148358,982.0,100.0
1653385540369869272,982.0,100.0
1653385540448516626,982.0,100.0
1653385540528212749,1003.0,100.0
1653385540608910506,1003.0,100.0
1653385540691940863,1003.0,100.0
1653385540768094851,1003.0,100.0
1653385540851616175,1017.0,100.0
1653385540927927253,1017.0,100.0
1653385541011116993,1017.0,100.0
1653385541091250173,1017.0,100.0
1653385541168488396,1032.0,100.0
1653385541249310437,1032.0,100.0
1653385541328819969,1032.0,100.0
1653385541410301698,1032.0,100.0
1653385541509053919,1045.0,100.0
1653385541617915818,1045.0,100.0
1653385541696246158,1045.0,100.0
1653385541794003166,1057.0,100.0
1653385541908018744,1057.0,100.0
1653385541987271893,1057.0,100.0
1653385542080847821,1067.0,100.0
1653385542146187861,1067.0,100.0
1653385542239868521,1067.0,100.0
1653385542306389710,1067.0,100.0
1653385542401534737,1079.0,100.0
1653385542485204934,1079.0,100.0
1653385542561418486,1079.0,100.0
1653385542641941658,1079.0,100.0
1653385542724084875,1103.0,100.0
1653385542801649166,1103.0,100.0
1653385542883786131,1103.0,100.0
1653385542964268395,1103.0,100.0
1653385543041437629,1111.0,100.0
1653385543121698696,1111.0,100.0
1653385543204416020,1111.0,100.0
1653385543287951836,1111.0,100.0
1653385543376448215,1130.0,100.0
1653385543445557455,1130.0,100.0
1653385543536693728,1130.0,100.0
1653385543665251481,1139.0,100.0
1653385543780559279,1139.0,100.0
1653385543858957224,1139.0,100.0
1653385543955787331,1144.0,100.0
1653385544081731767,1144.0,100.0
