%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1653386142066377739,1500,1500,1425,1460,1513,1500,1500,1500
1653386142071555923,1500,1500,1425,1460,1513,1500,1500,1500
1653386142078139896,1500,1500,1425,1460,1513,1500,1500,1500
1653386142106861784,1500,1500,1425,1460,1513,1500,1500,1500
1653386142113010549,1500,1500,1425,1460,1513,1500,1500,1500
1653386142139533912,1500,1500,1425,1460,1513,1500,1500,1500
1653386142142280176,1500,1500,1425,1460,1513,1500,1500,1500
1653386142146930496,1500,1500,1425,1460,1513,1500,1500,1500
1653386142173600061,1500,1500,1425,1460,1513,1500,1500,1500
1653386142178134361,1500,1500,1425,1460,1513,1500,1500,1500
1653386142206240212,1500,1500,1425,1460,1513,1500,1500,1500
1653386142212088980,1500,1500,1425,1460,1513,1500,1500,1500
1653386142229010711,1500,1500,1425,1460,1513,1500,1500,1500
1653386142239507038,1500,1500,1425,1461,1513,1500,1500,1500
1653386142245236005,1500,1500,1425,1461,1513,1500,1500,1500
1653386142271631952,1500,1500,1425,1461,1513,1500,1500,1500
1653386142276190503,1500,1500,1425,1461,1513,1500,1500,1500
1653386142306626955,1500,1500,1425,1462,1513,1500,1500,1500
1653386142312537937,1500,1500,1425,1462,1513,1500,1500,1500
1653386142325865645,1500,1500,1425,1462,1513,1500,1500,1500
1653386142336411429,1500,1500,1425,1462,1513,1500,1500,1500
1653386142339334470,1500,1500,1425,1462,1513,1500,1500,1500
1653386142371797072,1500,1500,1425,1463,1513,1500,1500,1500
1653386142376793720,1500,1500,1426,1463,1513,1500,1500,1500
1653386142387441758,1500,1500,1426,1463,1513,1500,1500,1500
1653386142404706336,1500,1500,1426,1463,1513,1500,1500,1500
1653386142410741812,1500,1500,1426,1463,1513,1500,1500,1500
1653386142436615898,1500,1500,1426,1464,1513,1500,1500,1500
1653386142440273151,1500,1500,1427,1464,1513,1500,1500,1500
1653386142468020271,1500,1500,1427,1464,1513,1500,1500,1500
1653386142474961875,1500,1500,1428,1464,1513,1500,1500,1500
1653386142484131114,1500,1500,1428,1464,1513,1500,1500,1500
1653386142504176753,1500,1500,1428,1536,1513,1500,1500,1500
1653386142510889631,1500,1500,1428,1536,1513,1500,1500,1500
1653386142536618448,1500,1500,1428,1536,1513,1500,1500,1500
1653386142538610178,1500,1500,1429,1536,1513,1500,1500,1500
1653386142550926655,1500,1500,1429,1536,1513,1500,1500,1500
1653386142569010502,1500,1500,1429,1537,1513,1500,1500,1500
1653386142574834400,1500,1500,1430,1537,1513,1500,1500,1500
1653386142600428475,1500,1500,1430,1537,1513,1500,1500,1500
1653386142608065873,1500,1500,1431,1537,1513,1500,1500,1500
1653386142636360060,1500,1500,1431,1537,1513,1500,1500,1500
1653386142641754174,1500,1500,1432,1537,1513,1500,1500,1500
1653386142646314356,1500,1500,1432,1537,1513,1500,1500,1500
1653386142666376868,1500,1500,1432,1538,1513,1500,1500,1500
1653386142668015454,1500,1500,1432,1538,1513,1500,1500,1500
1653386142698456393,1500,1500,1432,1538,1513,1500,1500,1500
1653386142706624147,1500,1500,1433,1538,1513,1500,1500,1500
1653386142723092761,1500,1500,1433,1538,1513,1500,1500,1500
1653386142732098112,1500,1500,1433,1538,1513,1500,1500,1500
1653386142736645973,1500,1500,1434,1538,1513,1500,1500,1500
1653386142766373854,1500,1500,1434,1537,1513,1500,1500,1500
1653386142771402619,1500,1500,1434,1537,1513,1500,1500,1500
1653386142797511997,1500,1500,1434,1537,1513,1500,1500,1500
1653386142800659039,1500,1500,1435,1537,1513,1500,1500,1500
1653386142803332821,1500,1500,1435,1537,1513,1500,1500,1500
1653386142832311448,1500,1500,1435,1537,1513,1500,1500,1500
1653386142837070941,1500,1500,1437,1537,1513,1500,1500,1500
1653386142866487920,1500,1500,1437,1536,1513,1500,1500,1500
1653386142867120235,1500,1500,1439,1536,1513,1500,1500,1500
1653386142884739668,1500,1500,1439,1536,1513,1500,1500,1500
1653386142897307206,1500,1500,1439,1536,1513,1500,1500,1500
1653386142902753117,1500,1500,1440,1536,1513,1500,1500,1500
1653386142930060197,1500,1500,1440,1464,1513,1500,1500,1500
1653386142935024841,1500,1500,1442,1464,1513,1500,1500,1500
1653386142966545129,1500,1500,1442,1464,1513,1500,1500,1500
1653386142973656192,1500,1500,1443,1464,1513,1500,1500,1500
1653386142978598855,1500,1500,1443,1464,1513,1500,1500,1500
1653386142995105788,1500,1500,1443,1463,1513,1500,1500,1500
1653386142998217976,1500,1500,1443,1463,1513,1500,1500,1500
1653386143030191345,1500,1500,1443,1463,1513,1500,1500,1500
1653386143035847875,1500,1500,1445,1463,1513,1500,1500,1500
1653386143046331859,1500,1500,1445,1463,1513,1500,1500,1500
1653386143063267606,1500,1500,1445,1462,1513,1500,1500,1500
1653386143067658709,1500,1500,1446,1462,1513,1500,1500,1500
1653386143095057489,1500,1500,1446,1461,1513,1500,1500,1500
1653386143097963518,1500,1500,1446,1461,1513,1500,1500,1500
1653386143127106722,1500,1500,1446,1461,1513,1500,1500,1500
1653386143130819385,1500,1500,1447,1461,1513,1500,1500,1500
1653386143136439130,1500,1500,1447,1461,1513,1500,1500,1500
1653386143162094173,1500,1500,1447,1461,1513,1500,1500,1500
1653386143167865548,1500,1500,1447,1461,1513,1500,1500,1500
1653386143195085961,1500,1500,1447,1461,1513,1500,1500,1500
1653386143197828095,1500,1500,1448,1461,1513,1500,1500,1500
1653386143206350237,1500,1500,1448,1461,1513,1500,1500,1500
1653386143227078971,1500,1500,1448,1461,1513,1500,1500,1500
1653386143234936011,1500,1500,1451,1461,1513,1500,1500,1500
1653386143258570155,1500,1500,1451,1461,1513,1500,1500,1500
1653386143267137711,1500,1500,1453,1461,1513,1500,1500,1500
1653386143295019533,1500,1500,1453,1461,1513,1500,1500,1500
1653386143298523848,1500,1500,1454,1461,1513,1500,1500,1500
1653386143303643988,1500,1500,1454,1461,1513,1500,1500,1500
1653386143326637623,1500,1500,1454,1461,1513,1500,1500,1500
1653386143335796487,1500,1500,1455,1461,1513,1500,1500,1500
1653386143360804946,1500,1500,1455,1462,1513,1500,1500,1500
1653386143368022358,1500,1500,1456,1462,1513,1500,1500,1500
1653386143377577836,1500,1500,1456,1462,1513,1500,1500,1500
1653386143393078005,1500,1500,1456,1462,1513,1500,1500,1500
1653386143398697726,1500,1500,1456,1462,1513,1500,1500,1500
1653386143428303110,1500,1500,1456,1463,1513,1500,1500,1500
1653386143430152943,1500,1500,1458,1463,1513,1500,1500,1500
1653386143460027833,1500,1500,1458,1463,1513,1500,1500,1500
1653386143461169570,1500,1500,1458,1463,1513,1500,1500,1500
1653386143466189482,1500,1500,1460,1463,1513,1500,1500,1500
1653386143492651409,1500,1500,1460,1464,1513,1500,1500,1500
1653386143497354962,1500,1500,1460,1464,1513,1500,1500,1500
1653386143526522823,1500,1500,1460,1464,1513,1500,1500,1500
1653386143528082363,1500,1500,1460,1536,1513,1500,1500,1500
1653386143530764379,1500,1500,1462,1536,1513,1500,1500,1500
1653386143559530760,1500,1500,1462,1536,1513,1500,1500,1500
1653386143561173565,1500,1500,1464,1536,1513,1500,1500,1500
1653386143591390820,1500,1500,1464,1536,1513,1500,1500,1500
1653386143597104676,1500,1500,1464,1536,1513,1500,1500,1500
1653386143619867742,1500,1500,1464,1536,1513,1500,1500,1500
1653386143625515471,1500,1500,1464,1537,1513,1500,1500,1500
1653386143631788577,1500,1500,1537,1537,1513,1500,1500,1500
1653386143657580555,1500,1500,1537,1537,1513,1500,1500,1500
1653386143658924137,1500,1500,1538,1537,1513,1500,1500,1500
1653386143691474484,1500,1500,1538,1537,1513,1500,1500,1500
1653386143696277190,1500,1500,1538,1537,1513,1500,1500,1500
1653386143701671659,1500,1500,1538,1537,1513,1500,1500,1500
1653386143723783164,1500,1500,1538,1537,1513,1500,1500,1500
1653386143728179173,1500,1500,1539,1537,1513,1500,1500,1500
1653386143757441657,1500,1500,1539,1537,1513,1500,1500,1500
1653386143758766231,1500,1500,1540,1537,1513,1500,1500,1500
1653386143781919457,1500,1500,1540,1537,1513,1500,1500,1500
1653386143787926757,1500,1500,1540,1537,1513,1500,1500,1500
1653386143795481669,1500,1500,1541,1537,1513,1500,1500,1500
1653386143823852879,1500,1500,1541,1537,1513,1500,1500,1500
1653386143829176572,1500,1500,1542,1537,1513,1500,1500,1500
1653386143857170629,1500,1500,1542,1536,1513,1500,1500,1500
1653386143858507459,1500,1500,1542,1536,1513,1500,1500,1500
1653386143861857622,1500,1500,1542,1536,1513,1500,1500,1500
1653386143888870818,1500,1500,1542,1536,1513,1500,1500,1500
1653386143891073329,1500,1500,1542,1536,1513,1500,1500,1500
1653386143922132858,1500,1500,1542,1536,1513,1500,1500,1500
1653386143926649402,1500,1500,1543,1536,1513,1500,1500,1500
1653386143953527194,1500,1500,1543,1536,1513,1500,1500,1500
1653386143959161767,1500,1500,1543,1464,1513,1500,1500,1500
1653386143959600702,1500,1500,1543,1464,1513,1500,1500,1500
1653386143985987867,1500,1500,1543,1463,1513,1500,1500,1500
1653386143991622822,1500,1500,1543,1463,1513,1500,1500,1500
1653386144020031207,1500,1500,1543,1463,1513,1500,1500,1500
1653386144024574086,1500,1500,1544,1463,1513,1500,1500,1500
1653386144025872474,1500,1500,1544,1463,1513,1500,1500,1500
1653386144052789199,1500,1500,1544,1462,1513,1500,1500,1500
1653386144058662638,1500,1500,1544,1462,1513,1500,1500,1500
1653386144085956396,1500,1500,1544,1461,1513,1500,1500,1500
1653386144090304155,1500,1500,1545,1461,1513,1500,1500,1500
1653386144117182932,1500,1500,1545,1461,1513,1500,1500,1500
1653386144119466356,1500,1500,1545,1461,1513,1500,1500,1500
1653386144126947439,1500,1500,1545,1461,1513,1500,1500,1500
1653386144153761179,1500,1500,1545,1460,1513,1500,1500,1500
1653386144158512764,1500,1500,1546,1460,1513,1500,1500,1500
1653386144186410704,1500,1500,1546,1460,1513,1500,1500,1500
1653386144187358900,1500,1500,1546,1460,1513,1500,1500,1500
1653386144189956832,1500,1500,1546,1460,1513,1500,1500,1500
1653386144219452244,1500,1500,1546,1460,1513,1500,1500,1500
1653386144227823755,1500,1500,1546,1460,1513,1500,1500,1500
1653386144251153699,1500,1500,1546,1460,1513,1500,1500,1500
1653386144256731513,1500,1500,1546,1460,1513,1500,1500,1500
1653386144276569113,1500,1500,1546,1460,1513,1500,1500,1500
1653386144285940507,1500,1500,1546,1460,1513,1500,1500,1500
1653386144290876346,1500,1500,1546,1460,1513,1500,1500,1500
1653386144316622033,1500,1500,1546,1460,1513,1500,1500,1500
1653386144321016970,1500,1500,1547,1460,1513,1500,1500,1500
1653386144341276788,1500,1500,1547,1460,1513,1500,1500,1500
1653386144350515215,1500,1500,1547,1460,1513,1500,1500,1500
1653386144354775864,1500,1500,1547,1460,1513,1500,1500,1500
1653386144383662516,1500,1500,1547,1460,1513,1500,1500,1500
1653386144388665603,1500,1500,1547,1460,1513,1500,1500,1500
1653386144419690705,1500,1500,1547,1461,1513,1500,1500,1500
1653386144424241275,1500,1500,1548,1461,1513,1500,1500,1500
1653386144436728093,1500,1500,1548,1461,1513,1500,1500,1500
1653386144447321116,1500,1500,1548,1461,1513,1500,1500,1500
1653386144454827802,1500,1500,1548,1461,1513,1500,1500,1500
1653386144483651259,1500,1500,1548,1462,1513,1500,1500,1500
1653386144490629225,1500,1500,1548,1462,1513,1500,1500,1500
